"Id";"Designator";"Footprint";"Quantity";"Designation";"MPN";"Mfr";"Fit"
32;"L11";"L_XGL4020_4.0x4.0mm";1;"2.2 uH";"XGL4020-222ME";"Coilcraft";"Fit"
33;"LS1";"BUZ_MLT-8530";1;"MLT-8530";"MLT-8530";"Huaneng";"Fit"
34;"Q3, Q4, Q5, Q6, Q12, Q14";"TRANS_SOT-416_EMT3-EMT3F_ROHM";6;"DTC123J";"DTC123JETL";"Rohm";"Fit"
35;"Q13";"TRANS_SOT-416_EMT3-EMT3F_ROHM";1;"DTA123J";"DTA123JETL";"Rohm";"Fit"
36;"Q9";"TRANS_PMPB14XNX";1;"PMPB14XNX";"PMPB14XNX";"Nexperia";"Fit"
37;"Q11";"DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm";1;"AONR21321";"AONR21321";"Alpha & Omega";"Fit"
38;"R1, R2, R9, R11, R13, R19, R22, R28, R49, R50, R53, R59, R82, R83, R84, R86, R87, R125, R126, R137";"R_0402_1005Metric";20;"100 k";"RC0402FR-07100KL";"Yageo";"Fit"
39;"R3, R38, R39";"R_0402_1005Metric";3;"22";"RC0402FR-0722RL";"Yageo";"Fit"
40;"R4, R5, R15, R16, R17, R23, R31, R33, R36, R37, R42, R46, R52, R140, R141";"R_0402_1005Metric";15;"10 k";"RC0402FR-0710KL";"Yageo";"Fit"
41;"R8, R10, R12, R18, R51, R64";"R_0402_1005Metric";6;"49.9 k";"RC0402FR-0749K9L";"Yageo";"Fit"
42;"R21, R26, R132";"R_0402_1005Metric";3;"100";"RC0402FR-07100RL";"Yageo";"Fit"
43;"R40, R41, R43, R47, R55, R58, R61, R62, R63, R67, R69, R78, R79, R80, R81";"R_0402_1005Metric";15;"5.11 k";"RC0402FR-075K11L";"Yageo";"Fit"
44;"R30, R32, R54, R65, R66, R70, R88, R139";"R_0402_1005Metric";8;"1 k";"RC0402FR-071KL";"Yageo";"Fit"
45;"R73";"R_0402_1005Metric";1;"2.2 k";"RC0402FR-072K2L";"Yageo";"Fit"
46;"R44, R77, R138";"R_0402_1005Metric";3;"1 M";"RC0402FR-071ML";"Yageo";"Fit"
47;"R45";"R_0402_1005Metric";1;"210 k";"RC0402FR-07210KL";"Yageo";"Fit"
48;"R48";"R_0402_1005Metric";1;"127";"RC0402FR-07127RL";"Yageo";"Fit"
49;"R56";"R_0402_1005Metric";1;"12 k";"RC0402FR-0712KL";"Yageo";"Fit"
50;"R57";"R_0402_1005Metric";1;"1.5 k";"RC0402FR-071K5L";"Yageo";"Fit"
51;"R60";"R_0402_1005Metric";1;"15.4 k";"RC0402FR-0715K4L";"Yageo";"Fit"
52;"R72";"R_0805_2012Metric";1;"2 m";"PA0805FRF870R002L";"YAGEO";"Fit"
53;"R74, R75";"R_0402_1005Metric";2;"499 k";"RC0402FR-07499KL";"Yageo";"DNP"
54;"R76";"R_0402_1005Metric";1;"0";"RC0402JR-070RL";"Yageo";"DNP"
55;"R85";"R_0402_1005Metric";1;"2 k";"RC0402FR-072KL";"Yageo";"Fit"
56;"R134";"R_0402_1005Metric";1;"3.09 k";"RC0402FR-073K09L";"Yageo";"Fit"
57;"R135";"R_0402_1005Metric";1;"6.65 k";"RC0402FR-076K65L";"Yageo";"Fit"
58;"R136";"R_0402_1005Metric";1;"22.1 k";"RC0402FR-0722K1L";"Yageo";"Fit"
59;"S1";"SW_JS202011JCQN";1;"JS202011JCQN";"JS202011JCQN";"Same Sky (CUI)";"Fit"
